"chr","start","end"
"chr10",124619144,124619644
"chr6",5085986,5086486
"chr10",124618739,124619239
"chr8",90791319,90791819
"chr11",111905781,111906281
"chr12",9068179,9068679
"chr14",55122790,55123290
"chr7",49773294,49773794
"chr4",173526057,173526557
"chr7",120788284,120788784
"chr9",131290205,131290705
"chr2",18555577,18556077
"chr5",143276647,143277147
"chr12",9066016,9066516
"chr2",20030359,20030859
"chr11",106052014,106052514
"chr6",162729988,162730488
"chr22",43152564,43153064
"chr3",120599020,120599520
"chr12",117037989,117038489
"chr3",42691576,42692076
"chr7",33110486,33110986
"chr14",60141664,60142164
"chr5",190650,191150
"chr6",162727757,162728257
"chr16",1936815,1937315
"chr2",101252024,101252524
"chr19",10566353,10566853
"chr1",226939023,226939523
"chr2",119369093,119369593
"chr1",209673958,209674458
"chr4",185395128,185395628
"chr3",156040276,156040776
"chr10",23438232,23438732
"chr14",55124342,55124842
"chr7",49773122,49773622
"chr10",124618215,124618715
"chr7",33108241,33108741
"chr1",17016394,17016894
"chr7",44144631,44145131
"chr5",143278745,143279245
"chr12",21763084,21763584
"chr6",5087011,5087511
"chr10",13275945,13276445
"chr22",19523981,19524481
"chr8",143974340,143974840
"chr14",100724328,100724828
"chr12",26124585,26125085
"chr6",78866505,78867005
"chr6",168442911,168443411
"chr11",67415125,67415625
"chr15",65078118,65078618
"chr6",5996325,5996825
"chr7",30910547,30911047
"chr3",120598989,120599489
"chr13",113177487,113177987
"chr20",604421,604921
"chr12",9067854,9068354
"chr16",87325175,87325675
"chr5",112873390,112873890
"chr13",27434070,27434570
"chr19",8319801,8320301
"chr12",7080728,7081228
"chr6",162726037,162726537
"chr14",104579176,104579676
"chr18",34494874,34495374
"chr11",47176415,47176915
"chr8",47736310,47736810
"chr4",140388011,140388511
"chr11",112087379,112087879
"chr22",35649545,35650045
"chr22",39120807,39121307
"chr5",151022596,151023096
"chrX",154675925,154676425
"chr5",112875679,112876179
"chr5",16473805,16474305
"chr17",75635892,75636392
"chr8",90001132,90001632
"chr6",5086854,5087354
"chr12",95655272,95655772
"chr5",145935875,145936375
"chr14",103941551,103942051
"chr10",71745801,71746301
"chr1",9996302,9996802
"chr22",39119212,39119712
"chr9",131289477,131289977
"chr2",86603377,86603877
"chr18",34495836,34496336
"chr5",112874413,112874913
"chr9",5357182,5357682
"chr5",112874314,112874814
"chr16",75112917,75113417
"chr10",13279094,13279594
"chrX",77900140,77900640
"chr2",101252763,101253263
"chr3",120595520,120596020
"chr1",50961523,50962023
"chr3",127917860,127918360
"chr7",120786794,120787294
"chr13",113453956,113454456
"chr9",129887964,129888464
"chr3",15449217,15449717
"chr5",76716111,76716611
"chr15",88621834,88622334
"chr19",16113669,16114169
"chr11",69641491,69641991
"chr16",68638745,68639245
"chr5",34656517,34657017
"chr1",21596441,21596941
"chr1",149928051,149928551
"chr8",27633301,27633801
"chr6",1611914,1612414
"chr9",136796924,136797424
"chr10",121476957,121477457
"chr10",89427376,89427876
"chr9",78297239,78297739
"chr1",206506509,206507009
"chr10",123705512,123706012
"chr1",28508317,28508817
"chr16",87827689,87828189
"chr15",41556449,41556949
"chr18",44680600,44681100
"chr9",114334178,114334678
"chr7",2633343,2633843
"chr1",160117205,160117705
"chr9",136798210,136798710
"chr19",19388521,19389021
"chr6",85452308,85452808
"chr1",156721184,156721684
"chr3",48156247,48156747
"chr11",125166961,125167461
"chr6",47231910,47232410
"chr8",27633265,27633765
"chr20",2791786,2792286
"chr5",76716120,76716620
"chr7",41960067,41960567
"chr6",43078669,43079169
"chr5",122313173,122313673
"chr14",69857089,69857589
"chr1",156719255,156719755
"chr3",152833917,152834417
"chr19",8066286,8066786
"chr19",16113400,16113900
"chr18",10453173,10453673
"chr15",75462530,75463030
"chr11",125165316,125165816
"chr7",69597393,69597893
"chr21",45491081,45491581
"chr2",215361458,215361958
"chr17",73332915,73333415
"chr10",100348112,100348612
"chr9",97030847,97031347
"chr5",76614277,76614777
"chr18",72536269,72536769
"chr5",168293759,168294259
"chr16",28260599,28261099
"chr7",69597451,69597951
"chr1",154154487,154154987
"chr1",206473319,206473819
"chr7",69600163,69600663
"chr17",44925629,44926129
"chr20",6767647,6768147
"chr11",125167243,125167743
"chr1",156721090,156721590
"chr6",43077734,43078234
"chr13",26560171,26560671
"chr22",21418222,21418722
"chr17",4585757,4586257
"chr17",50109541,50110041
"chr8",103151933,103152433
"chr7",75530734,75531234
"chr19",8066696,8067196
"chr6",1609133,1609633
"chr6",25280438,25280938
"chr17",62968597,62969097
"chr2",11483460,11483960
"chr15",41556380,41556880
"chr3",152837343,152837843
"chr3",152836107,152836607
"chr20",62463998,62464498
"chr1",53242448,53242948
"chr6",89093326,89093826
"chr9",136795386,136795886
"chr20",32191453,32191953
"chr3",184562544,184563044
"chr22",27852595,27853095
"chr17",41814413,41814913
"chr16",46690780,46691280
"chr19",39412384,39412884
"chr1",206508445,206508945
"chr1",156719788,156720288
"chr19",29810892,29811392
"chr2",11485017,11485517
"chr1",89179952,89180452
"chr5",122313585,122314085
"chr14",76762509,76763009
"chr3",196935309,196935809
"chr15",101174969,101175469
"chr15",89578220,89578720
"chr11",125628035,125628535
"chr9",97028614,97029114
"chr3",109324223,109324723
"chr18",313952,314452
"chr10",69802345,69802845
"chr2",218713714,218714214
"chr16",56731221,56731721
"chr6",43077657,43078157
"chr11",119093739,119094239
"chr1",52683947,52684447
"chr17",55716686,55717186
"chr15",101173073,101173573
"chr3",196935884,196936384
"chr15",101173661,101174161
"chr2",205682115,205682615
"chr7",75530511,75531011
"chr20",62464568,62465068
"chr8",121611534,121612034
"chr17",1514906,1515406
"chr11",119096160,119096660
"chrX",9786953,9787453
"chr21",45405290,45405790
"chr13",38686201,38686701
"chr17",42755232,42755732
"chr3",152833974,152834474
"chr20",32192211,32192711
"chr1",89180076,89180576
"chr3",184563821,184564321
"chr9",78300033,78300533
"chr3",152835249,152835749
"chr16",56732878,56733378
"chr6",34237267,34237767
"chr1",53242282,53242782
"chr19",39411191,39411691
"chr1",149928701,149929201
"chr15",89576209,89576709
"chr1",160401883,160402383
"chr1",149901799,149902299
"chr3",10025565,10026065
"chr10",13162658,13163158
"chr9",71680918,71681418
"chr5",34654903,34655403
"chr6",43519397,43519897
"chr3",109323327,109323827
"chr6",1609076,1609576
"chr19",4901891,4902391
"chr6",20402736,20403236
"chr1",21215382,21215882
"chr9",71682845,71683345
"chr19",39412331,39412831
"chr9",113220475,113220975
"chr16",56731742,56732242
"chr1",157994550,157995050
"chr5",122312140,122312640
"chr10",119726513,119727013
"chr1",29238172,29238672
"chr19",4904460,4904960
"chr15",65532802,65533302
"chr10",22532490,22532990
"chr12",74538301,74538801
"chr11",69640686,69641186
"chr6",2885586,2886086
"chr2",68861532,68862032
"chr16",68635392,68635892
"chr16",23838804,23839304
"chr21",43662164,43662664
"chr22",21417767,21418267
"chr1",43990062,43990562
"chr5",34658256,34658756
"chr14",69854121,69854621
"chr19",29814894,29815394
"chr5",147389218,147389718
"chr12",65825889,65826389
"chr15",101175452,101175952
"chr8",125430896,125431396
"chr4",110045343,110045843
"chr7",105437020,105437520
"chrX",15464634,15465134
"chr6",107065573,107066073
"chr6",89093129,89093629
"chr5",122312955,122313455
"chr7",41961868,41962368
"chr20",62463916,62464416
"chr18",72533743,72534243
"chr3",10026103,10026603
"chr9",113220194,113220694
"chr17",62967251,62967751
"chr6",82362780,82363280
"chr16",46690738,46691238
"chr6",43078831,43079331
"chr17",1516809,1517309
"chr10",69804808,69805308
"chr9",115016608,115017108
"chr19",36714384,36714884
"chr6",20404064,20404564
"chr1",64468757,64469257
"chr6",82363017,82363517
"chr12",65824716,65825216
"chr3",184563439,184563939
"chr1",149926056,149926556
"chr10",106571381,106571881
"chr17",55717065,55717565
"chr13",39007127,39007627
"chr10",106571901,106572401
"chr17",79778100,79778600
"chr1",157995762,157996262
"chr15",101174548,101175048
"chr17",79930285,79930785
"chr1",201481389,201481889
"chr17",62965176,62965676
"chr9",113875355,113875855
"chr7",33904625,33905125
"chr17",44921902,44922402
"chr6",85450143,85450643
"chr1",21216625,21217125
"chr5",76613452,76613952
"chr19",36711721,36712221
"chr3",109325664,109326164
"chr17",79933676,79934176
"chr15",89575279,89575779
"chr3",129977122,129977622
"chr3",101830728,101831228
"chr3",196932513,196933013
"chr5",168661990,168662490
"chr11",35944540,35945040
"chr9",91563920,91564420
"chr21",31116145,31116645
"chr1",914172,914672
"chr3",48158386,48158886
"chr4",1795607,1796107
"chr15",101177195,101177695
"chr15",89574285,89574785
"chr17",4585109,4585609
"chr1",149902329,149902829
"chr4",108048258,108048758
"chr15",89577813,89578313
"chr3",129977144,129977644
"chr15",66701742,66702242
"chr6",43521928,43522428
"chr7",33905019,33905519
"chr15",89574074,89574574
"chr1",916363,916863
"chr1",52685134,52685634
"chr6",47230423,47230923
"chr19",799595,800095
"chr1",201481979,201482479
"chr15",41559843,41560343
"chr20",6769049,6769549
"chr14",76762318,76762818
"chr17",79776968,79777468
"chr7",150993502,150994002
"chr3",185644504,185645004
"chr6",34238509,34239009
"chr5",83634990,83635490
"chr9",129888184,129888684
"chr1",149901079,149901579
"chr16",28260154,28260654
"chr11",61753884,61754384
"chr13",39009234,39009734
"chr9",86027438,86027938
"chr17",44922588,44923088
"chr6",2885809,2886309
"chr7",105440107,105440607
"chr17",4584272,4584772
"chr3",48158028,48158528
"chr6",89096394,89096894
"chr15",80780875,80781375
"chr7",2630914,2631414
"chr4",110044463,110044963
"chr1",89180006,89180506
"chr7",75531105,75531605
"chr22",27850505,27851005
"chr9",131010094,131010594
"chr1",89181777,89182277
"chr19",39411463,39411963
"chr19",4904009,4904509
